STUDENTS.ID,STU.TYPES,STU.TYPE.DATES,STU.TYPE.END.DATES,EffectiveDatetime,CurrentFlag
5049274,CCPP,2019-04-12,2020-06-01,2021-05-22T03:24:41Z,Y
5007865,NULL,2020-06-01,9999-12-31,2020-04-25T03:25:17Z,Y
5060950,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:09Z,Y
5022456,NULL,2022-08-05,9999-12-31,2021-10-26T03:24:38Z,Y
5019257,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:09Z,Y
5071020,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:09Z,Y
5060950,CCPP,2018-06-14,2019-08-05,2020-02-13T18:54:09Z,Y
5007865,CCPP,2019-04-12,2020-06-01,2020-04-25T03:25:17Z,Y
5019257,CCPP,2018-06-14,2019-08-05,2020-02-13T18:54:09Z,Y
5022456,CCPP,2018-06-28,2022-08-05,2021-10-26T03:24:38Z,Y
5076339,CCPP,2018-06-12,2019-08-05,2020-02-13T18:54:09Z,Y
5045917,NULL,2020-06-01,9999-12-31,2020-04-28T03:25:42Z,Y
5071020,CCPP,2018-06-12,2019-08-05,2020-02-13T18:54:09Z,Y
5010559,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:13Z,Y
5053511,CCPP,2019-04-22,2022-08-05,2021-10-27T03:24:41Z,Y
5064841,NULL,2020-06-01,9999-12-31,2020-05-29T03:25:34Z,Y
5045917,CCPP,2018-06-19,2020-06-01,2020-04-28T03:25:42Z,Y
5033505,NULL,2022-08-05,9999-12-31,2021-05-26T03:24:37Z,Y
5034746,NULL,2020-08-05,9999-12-31,2022-01-15T04:24:42Z,Y
5091001,NULL,2020-08-05,9999-12-31,2020-02-13T18:54:10Z,Y
5069854,NULL,2019-08-05,9999-12-31,2021-01-07T04:24:42Z,Y
5088273,NULL,2020-06-01,9999-12-31,2020-04-28T03:25:16Z,Y
5098114,NULL,2020-06-01,9999-12-31,2021-11-16T04:24:44Z,Y
5034746,CCPP,2019-04-12,2020-08-05,2022-01-15T04:24:42Z,Y
5064841,CCPP,2019-03-28,2020-06-01,2020-05-29T03:25:34Z,Y
5078842,NULL,2020-08-05,9999-12-31,2021-03-25T03:24:40Z,Y
5003700,NULL,2020-06-01,9999-12-31,2021-12-18T04:24:42Z,Y
5033505,CCPP,2020-03-18,2022-08-05,2021-05-26T03:24:37Z,Y
5001054,NULL,2020-08-05,9999-12-31,2020-02-13T18:54:24Z,Y
5078842,CCPP,2018-06-27,2020-08-05,2021-03-25T03:24:40Z,Y
5064172,NULL,2019-08-05,9999-12-31,2020-08-15T03:25:27Z,Y
5075614,NULL,2022-08-05,9999-12-31,2022-01-29T04:24:39Z,Y
5088273,CCPP,2019-03-28,2020-06-01,2020-04-28T03:25:16Z,Y
5075614,CCPP,2020-03-19,2022-08-05,2022-01-29T04:24:39Z,Y
